id,name,sex,country,type
ek,Eva Kaili,1,Griechenland,1
ak,Alexandros Kaili,2,Griechenland,1
fg,Francesco Giorgio,2,Italien,1
ap,Antonio Panzeri,2,Italien,1
sp,Silvia Panzeri,1,Italien,1
mc,Maria Colleoni,1,Italien,1
lv,Luca Visentini,2,Italien,1
mt,Marc Tarabella,2,Belgien,1
ac,Andrea Cozzolino,2,Italien,1
aa,Abderrahim Atmoun,2,Marokko,1
ma,Maria Arena,1,Belgien,1
am,Alessandra Moretti,1,Italien,1
bb,Brando Benifei,2,Italien,1
mym,Mohamed Yassine Mansouri,2,Marokko,1
FI,Fight Impunity,,,2
NPWJ,No Peace Without Justice,,,2
DGED,Marokkanischer Auslandsgeheimdienst DGED,,,2
SD,Socialists and Democrats,,,2
EP,EU Parlament,,,2
IGB,Internationalen Gewerkschaftsbund,,,2
da,Dimitris Avramopoulos,2,Griechenland,1
mb,Mohamed Belahrech,2,Marokko,1
mi,Maria Ignatiadou ,1,Griechenland,1
QU,Quadrumvirat,,,2
em,Eldar Mamedov,2,Lettland,1
dr,Donatella Rostagno,1,Italien,1
ng,Nicola Giovannini,2,Italien,1
mrb,Monica Rossana Bellini,1,Italien,1
nft,Niccolò Figà-Talamanca,2,Italien,1
DAD,Droit au droit,,,2
